,Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),Imdb
275,Prince of Darkness,John Carpenter,1987,7,2.5,No,6.7
276,Prometheus,Ridley Scott,2012,7,1.5,No,7.0
277,Psycho,Alfred Hitchcock,1960,2,0.5,No,8.6
278,Quarantine,John Erick Dowdle,2008,14,3.5,No,6.0
279,Ravenous,Antonia Bird,1999,4,1.0,No,7.1
280,Raw,Julia Ducournau,2016,3,1.0,Yes,7.1
281,Re-Animator,Stuart Gordon,1985,4,1.0,No,7.3
282,[Rec],"Jaume Balagueró, Paco Plaza",2007,11,3.5,No,7.5
283,Red Dragon,Brett Ratner,2002,6,2.0,No,7.2
284,Regression,Alejandro Amenábar,2015,3,1.0,No,5.7
285,Repulsion,Roman Polanski,1965,7,2.5,No,7.8
286,Resident Evil,Paul W.S. Anderson,2002,7,2.5,No,6.7
287,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,29,4.5,No,5.6
288,Resolution,"Justin Benson, Aaron Moorhead",2012,2,0.5,No,6.2
289,Restoration,Zack Ward,2016,10,3.0,No,4.0
290,Ring (Ringu),Hideo Nakata,1998,5,2.0,No,7.3
291,Rings,F. Javier Gutiérrez,2017,19,3.5,No,4.5
292,Rosemary's Baby,Roman Polanski,1968,0,0.0,No,8.0
293,Saw,James Wan,2004,5,2.0,No,7.7
294,Saw II,Darren Lynn Bousman,2005,5,1.0,No,6.6
295,Saw III,Darren Lynn Bousman,2006,5,1.5,No,6.2
296,Saw IV,Darren Lynn Bousman,2007,6,1.5,No,5.9
297,Saw V,David Hackl,2008,5,1.0,No,5.8
298,Saw VI,Kevin Greutert,2009,2,0.5,No,6.0
299,Scary Movie,Keenen Ivory Wayans,2000,8,1.5,No,6.2
300,Scary Movie 2,Keenen Ivory Wayans,2001,8,1.5,Yes,5.3
301,Scream,Wes Craven,1996,19,3.5,No,7.2
302,Scream 2,Wes Craven,1997,19,4.0,No,6.1
303,Scream 3,Wes Craven,2000,23,4.0,No,5.5
304,Scream 4,Wes Craven,2011,18,3.5,Yes,6.2
305,Searching,Aneesh Chaganty,2018,0,0.0,No,7.7
306,Secret Window,David Koepp,2004,10,2.0,No,6.6
307,Session 9,Brad Anderson,2001,0,0.0,No,6.5
308,Seven,David Fincher,1995,1,0.5,No,8.6
309,Shaun of the Dead,Edgar Wright,2004,13,2.5,No,8.0
310,Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom",2004,11,4.0,Yes,7.1
311,Shutter Island,Martin Scorsese,2010,9,2.0,No,8.1
312,Signs,M. Night Shyamalan,2002,8,2.0,No,6.7
313,Silent Hill,Christophe Gans,2006,7,1.5,No,6.6
314,Silent Hill: Revelation,Michael J. Bassett,2012,22,4.0,No,5.0
315,Silver Bullet,Dan Attias,1985,15,3.0,No,6.4
316,Sinister,Scott Derrickson,2012,17,5.0,No,6.8
317,Sinister 2,Ciarán Foy,2015,19,4.0,No,5.2
318,Sleepaway Camp,Robert Hiltzik,1983,6,1.5,No,6.3
319,Sleepy Hollow,Tim Burton,1999,1,0.5,No,7.4
320,Slender Man,Sylvain White,2018,15,3.5,No,3.1
321,Slither,James Gunn,2006,10,3.0,No,6.5
322,Slumber,Jonathan Hopkins,2017,12,3.0,No,4.9
323,Species,Roger Donaldson,1995,7,3.0,No,5.8
324,Sphere,Barry Levinson,1998,4,1.0,No,6.0
325,Splinter,Toby Wilkins,2008,10,3.0,No,6.1
326,Split,M. Night Shyamalan,2016,3,0.5,No,7.3
327,Spring,"Justin Benson, Aaron Moorhead",2014,1,0.5,No,6.6
328,Stake Land,Jim Mickle,2010,1,0.5,No,6.5
329,Starry Eyes,"Kevin Kolsch, Dennis Widmyer",2014,9,2.0,No,6.0
330,Stephanie,Akiva Goldsman,2017,18,3.0,Yes,5.8
331,Stir of Echoes,David Koepp,1999,9,3.0,No,7.0
332,Summer of 84,"Anouk Whissell, François Simard, Yoann-Karl Whissell",2018,19,4.0,No,6.7
333,Sunshine,Danny Boyle,2007,6,1.5,No,7.3
334,Super 8,J.J. Abrams,2011,15,3.5,No,7.1
335,Suspiria,Dario Argento,1977,6,1.5,No,7.5
336,Suspiria,Luca Guadagnino,2018,2,0.5,No,7.1
337,Tales of Halloween,Various Directors,2015,14,3.0,Yes,5.4
338,Terrifier,Damien Leone,2017,18,3.5,Yes,5.7
339,Texas Chainsaw 3D,John Luessenhop,2013,14,3.0,No,4.8
340,The 9th Life of Louis Drax,Alexandre Aja,2016,4,1.0,No,6.3
341,The Abandoned,Eytan Rockaway,2015,21,3.5,No,5.0
342,The ABCs of Death,Various Directors,2012,0,0.0,No,4.7
343,The Abyss,James Cameron,1989,2,0.5,No,7.6
344,The Amityville Horror,Stuart Rosenberg,1979,8,2.5,No,6.2
345,The Amityville Horror,Andrew Douglas,2005,16,4.0,No,6.0
346,The Atticus Institute,Chris Sparling,2015,13,3.5,No,5.4
347,The Autopsy of Jane Doe,André Øvredal,2016,12,3.0,Yes,6.8
348,The Babadook,Jennifer Kent,2014,11,3.0,No,6.9
349,The Babysitter,McG,2017,8,2.5,Yes,6.6
350,The Bay,Barry Levinson,2012,8,2.5,No,5.6
351,The Belko Experiment,Greg McLean,2016,8,2.5,No,6.2
352,The Blackcoat's Daughter,Osgood Perkins,2015,3,0.5,No,5.3
353,The Blair Witch Project,"Daniel Myrick, Eduardo Sánchez",1999,0,0.0,No,6.4
354,The Borderlands (Final Prayer),Elliot Goldner,2013,12,3.0,No,5.7
355,The Boy,Craig Macneill,2015,1,0.5,No,5.4
356,The Boy,William Brent Bell,2016,11,3.0,Yes,6.0
357,The Burning,Tony Maylam,1981,21,4.0,No,6.5
358,The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2004,4,1.0,No,7.7
359,The Bye Bye Man,Stacy Title,2017,13,3.0,No,4.3
360,The Cabin In The Woods,Drew Goddard,2012,13,3.0,No,7.0
361,The Call,Brad Anderson,2013,8,2.5,No,6.7
362,The Canal,Ivan Kavanagh,2014,4,2.0,No,5.9
363,The Changeling,Peter Medak,1980,7,2.0,No,7.3
364,The Cloverfield Paradox,Julius Onah,2018,8,3.0,Yes,6.2
365,The Collector,Marcus Dunstan,2009,2,1.0,No,6.4
366,The Conjuring,James Wan,2013,12,4.0,Yes,7.5
367,The Conjuring 2,James Wan,2016,22,5.0,No,7.4
368,The Conspiracy,Christopher MacBride,2012,1,0.5,No,6.4
369,The Conversation,Francis Ford Coppola,1974,1,0.5,No,7.9
370,The Craft,Andrew Fleming,1996,4,1.0,No,6.3
371,The Crazies,Breck Eisner,2010,18,4.0,No,6.6
372,The Crucifixion,Xavier Gens,2017,19,4.5,No,5.0
373,The Cured,David Freyne,2017,16,3.0,No,5.6
374,The Curse of La Llorona,Michael Chaves,2019,20,4.0,No,5.4
375,The Dead Don’t Die,Jim Jarmusch,2019,0,0.0,No,5.6
376,The Den,Zachary Donohue,2013,14,4.0,No,6.1
377,The Descent,Neil Marshall,2005,16,4.0,No,7.2
378,The Devil Inside,William Brent Bell,2012,8,2.5,No,4.1
379,The Devil's Backbone,Guillermo del Toro,2001,4,1.5,No,7.5
380,The Devil's Candy,Sean Byrne,2015,8,2.0,Yes,6.7
381,The Devil's Rejects,Rob Zombie,2005,0,0.0,No,6.9
382,The Disappointments Room,D.J. Caruso,2016,9,2.5,Yes,3.9
383,The Endless,"Justin Benson, Aaron Moorhead",2017,7,2.5,No,6.6
384,The Evil Dead,Sam Raimi,1981,22,4.0,No,7.6
385,The Exorcism of Emily Rose,Scott Derrickson,2005,8,2.5,No,6.7
386,The Exorcist,William Friedkin,1973,10,1.5,No,8.0
387,The Exorcist III,William Peter Blatty,1990,11,2.5,No,6.3
388,The Eye,"Danny Pang, Oxide Chun Pang",2002,5,2.0,No,6.7
389,The Eyes of My Mother,Nicolas Pesce,2016,0,0.0,Yes,6.3
390,The Faculty,Robert Rodriguez,1998,11,3.0,No,6.4
391,The Final Destination,David R. Ellis,2009,4,1.0,No,5.2
392,The Final Girls,Todd Strauss-Schulson,2015,8,1.5,No,6.7
393,The First Purge,Gerard McMurray,2018,8,2.5,No,5.2
394,The Fly,David Cronenberg,1986,2,0.5,No,7.5
395,The Fog,John Carpenter,1980,16,3.5,No,6.8
396,The Forest,Jason Zada,2016,13,3.5,No,4.8
397,The Forgotten,Joseph Ruben,2004,7,3.0,No,5.8
398,The Gallows,"Travis Cluff, Chris Lofing",2015,21,4.0,No,4.2
399,The Gift,Joel Edgerton,2015,5,1.5,No,7.1
400,The Girl with All the Gifts,Colm McCarthy,2016,3,1.0,No,6.8
401,The Good Neighbor,Kasra Farahani,2016,7,2.0,Yes,6.3
402,The Green Inferno,Eli Roth,2013,4,1.0,No,5.7
403,The Grudge,Takashi Shimizu,2004,23,4.0,No,5.9
404,The Guest,Adam Wingard,2014,5,1.5,No,6.7
405,The Hallow,Corin Hardy,2015,17,3.5,No,5.7
406,The Happening,M. Night Shyamalan,2008,1,0.5,No,5.0
407,The Harvest,John McNaughton,2013,0,0.0,No,5.9
408,The Haunting,Robert Wise,1963,3,1.0,No,7.6
409,The Haunting in Connecticut,Peter Cornwell,2009,26,4.5,No,5.9
410,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013,32,5.0,No,5.3
411,The Hills Have Eyes,Alexandre Aja,2006,9,2.5,No,6.4
412,The Hole,Nick Hamm,2001,3,0.5,No,6.2
413,The House of the Devil,Ti West,2009,4,1.0,No,6.4
414,The House on Pine Street,"Aaron Keeling, Austin Keeling",2015,5,1.0,No,5.3
415,The House with a Clock in Its Walls,Eli Roth,2018,8,1.5,No,6.2
416,The Howling,Joe Dante,1981,10,2.5,No,6.6
417,The Human Centipede (First Sequence),Tom Six,2009,4,1.5,No,4.4
418,The Innkeepers,Ti West,2011,9,2.0,No,5.5
419,The Innocents,Jack Clayton,1961,4,0.5,No,7.9
420,The Invitation,Karyn Kusama,2015,5,1.0,Yes,6.6
421,The Jacket,John Maybury,2005,6,1.5,No,7.1
422,The Killing of a Sacred Deer,Yorgos Lanthimos,2017,3,0.5,No,7.6
423,The Last Exorcism,Daniel Stamm,2010,7,2.0,No,5.6
424,The Last House on the Left,Dennis Iliadis,2009,4,0.5,No,6.6
425,The Lazarus Effect,David Gelb,2015,18,4.5,No,5.2
426,The Limehouse Golem,Juan Carlos Medina,2016,0,0.0,No,6.4
427,The Little Stranger,Lenny Abrahamson,2018,0,0.0,No,5.6
428,The Love Witch,Anna Biller,2016,0,0.0,No,6.2
429,The Meg,Jon Turteltaub,2018,18,3.5,No,6.1
430,The Messengers,"Danny Pang, Oxide Chun Pang",2007,27,4.5,No,5.4
431,The Midnight Meat Train,Ryûhei Kitamura,2008,1,0.5,No,6.2
432,The Mist,Frank Darabont,2007,5,1.0,No,7.2
433,The Monster,Bryan Bertino,2016,11,3.0,Yes,5.4
434,The Mothman Prophecies,Mark Pellington,2002,4,1.0,No,6.5
435,The Mummy,Alex Kurtzman,2017,16,3.5,No,5.5
436,The Neighbor,Marcus Dunstan,2016,3,1.0,No,5.8
437,The Neon Demon,Nicolas Winding Refn,2016,2,0.5,No,6.2
438,The New Daughter,Luiso Berdejo,2009,11,2.5,No,5.3
439,The Ninth Gate,Roman Polanski,1999,0,0.0,No,6.7
440,The Number 23,Joel Schumacher,2007,3,0.5,No,6.4
441,The Nun,Corin Hardy,2018,21,4.5,No,6.0
442,The Omen,Richard Donner,1976,1,0.5,No,7.6
443,The Ones Below,David Farr,2015,0,0.0,Yes,6.1
444,The Open House,"Matt Angel, Suzanne Coote",2018,14,3.0,Yes,3.3
445,The Orphanage,J.A. Bayona,2007,6,1.5,No,7.5
446,The Other Side of the Door,Johannes Roberts,2016,16,3.5,No,5.3
447,The Others,Alejandro Amenábar,2001,4,2.0,No,7.6
448,The Pact,Nicholas McCarthy,2012,12,3.0,No,5.8
449,The People Under the Stairs,Wes Craven,1991,13,3.0,No,6.3
450,The Perfection,Richard Shepard,2019,1,0.5,Yes,6.1
451,The Possession,Ole Bornedal,2012,10,3.0,No,5.9
452,The Possession of Michael King,David Jung,2014,20,4.0,No,5.7
453,The Predator,Shane Black,2018,6,1.5,No,5.6
454,The Purge,James DeMonaco,2013,12,3.0,No,5.6
455,The Purge: Anarchy,James DeMonaco,2014,13,3.0,No,6.5
456,The Purge: Election Year,James DeMonaco,2016,9,2.5,No,6.0
457,The Quiet Ones,John Pogue,2014,23,4.0,No,5.1
458,The Return of the Living Dead,Dan O'Bannon,1985,1,0.5,No,7.3
459,The Ring,Gore Verbinski,2002,9,2.5,No,7.1
460,The Ring Two,Hideo Nakata,2005,11,3.0,No,5.4
461,The Rite,Mikael Håfström,2011,7,2.0,Yes,6.0
462,The Ritual,David Bruckner,2017,15,3.0,Yes,6.3
463,The Sacrament,Ti West,2013,2,0.5,No,6.1
464,The Shallows,Jaume Collet-Serra,2016,9,2.5,No,6.3
465,The Shape of Water,Guillermo del Toro,2017,2,0.5,No,8.1
466,The Shining,Stanley Kubrick,1980,3,0.5,Yes,8.4
467,The Silence of the Lambs,Jonathan Demme,1991,0,0.0,No,8.6
468,The Sixth Sense,M. Night Shyamalan,1999,8,1.5,Yes,8.2
469,The Skeleton Key,Iain Softley,2005,11,3.0,No,6.5
470,The Snowman,Tomas Alfredson,2017,9,2.0,No,5.1
471,The Strangers,Bryan Bertino,2008,16,4.5,No,6.2
472,The Strangers: Prey at Night,Johannes Roberts,2018,14,3.5,No,5.5
473,The Taking of Deborah Logan,Adam Robitel,2014,19,3.5,No,6.0
474,The Texas Chain Saw Massacre,Tobe Hooper,1974,2,1.0,No,7.5
475,The Texas Chainsaw Massacre,Marcus Nispel,2003,16,3.0,No,6.2
476,The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,2006,17,3.5,Yes,5.9
477,The Thing,John Carpenter,1982,7,2.0,No,8.2
478,The Thing,Matthijs van Heijningen Jr.,2011,7,2.5,No,6.2
479,The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014,8,3.0,No,5.6
480,The Transfiguration,Michael O’Shea,2016,2,1.0,No,5.9
481,The Tunnel,Carlo Ledesma,2011,6,2.5,No,5.9
482,The Unborn,David S. Goyer,2009,14,3.5,Yes,4.8
483,The Uninvited,Charles & Thomas Guard,2009,11,3.0,Yes,6.4
484,The Veil,Phil Joanou,2016,12,3.0,Yes,4.7
485,The Village,M. Night Shyamalan,2004,4,1.0,No,6.5
486,The Visit,M. Night Shyamalan,2015,8,2.5,No,6.2
487,The Voices,Marjane Satrapi,2014,3,0.5,No,6.3
488,The Void,"Jeremy Gillespie, Steven Kostanski",2016,8,2.0,Yes,5.8
489,The Wailing,Na Hong-jin,2016,4,1.0,Yes,7.5
490,The Ward,John Carpenter,2010,15,4.0,No,5.6
491,The Wicker Man,Robin Hardy,1973,4,0.5,No,7.6
492,The Witch,Robert Eggers,2015,4,1.5,Yes,6.8
493,The Wolfman,Joe Johnston,2010,18,4.0,No,5.8
494,The Woman in Black,James Watkins,2012,16,4.0,No,6.5
495,The Woman in Black 2: Angel of Death,Tom Harper,2014,14,4.0,No,4.9
496,Them (Ils),"David Moreau, Xavier Palud",2006,16,4.0,No,6.5
497,Thesis (Tesis),Alejandro Amenábar,1996,3,0.5,No,7.5
498,They Look Like People,Perry Blackshear,2015,2,0.5,No,6.1
499,Thirteen Ghosts,Steve Beck,2001,17,3.0,No,5.5
500,Timecrimes,Nacho Vigalondo,2007,3,0.5,No,7.2
501,Tragedy Girls,Tyler Macintyre,2017,8,2.0,No,6.1
502,Train to Busan,Sang-ho Yeon,2016,4,1.0,Yes,7.5
503,Trash Fire,Richard Bates Jr.,2016,0,0.0,Yes,5.8
504,Tremors,Ron Underwood,1990,16,2.5,No,7.1
505,Triangle,Christopher Smith,2009,5,1.0,No,6.9
506,Trick 'r Treat,Michael Dougherty,2007,6,2.5,No,6.8
507,Truth or Dare,Jeff Wadlow,2018,7,2.0,No,4.8
508,Tucker and Dale vs. Evil,Eli Craig,2010,9,1.5,No,7.6
509,Tusk,Kevin Smith,2014,0,0.0,Yes,5.4
510,Under the Shadow,Babak Anvari,2016,9,3.5,Yes,7.0
511,Unfriended,Leo Gabriadze,2014,5,3.0,No,5.8
512,Unfriended: Dark Web,Stephen Susco,2018,6,1.5,No,5.5
513,Unsane,Steven Soderbergh,2018,2,0.5,No,6.7
514,Urban Legend,Jamie Blanks,1998,17,4.0,No,5.5
515,Us,Jordan Peele,2019,11,2.5,No,7.4
516,Uzumaki,Higuchinsky,2000,15,3.0,No,6.2
517,Vacancy,Nimród Antal,2007,12,2.5,No,6.2
518,Velvet Buzzsaw,Dan Gilroy,2019,10,2.5,No,6.1
519,Veronica,Paco Plaza,2017,10,3.0,Yes,6.5
520,V/H/S,Various Directors,2012,7,3.5,No,5.8
521,V/H/S/2,Various Directors,2013,14,4.0,No,6.1
522,Victor Frankenstein,Paul McGuigan,2015,6,1.5,No,6.0
523,Viral,"Henry Joost, Ariel Schulman",2016,20,4.0,No,5.5
524,Visions,Kevin Greutert,2015,10,3.5,No,5.4
525,Wait Until Dark,Terence Young,1967,1,0.5,No,7.9
526,We Are Still Here,Ted Geoghegan,2015,12,3.0,No,5.7
527,Wes Craven's New Nightmare,Wes Craven,1994,11,2.5,No,6.4
528,What Lies Beneath,Robert Zemeckis,2000,16,3.0,No,6.6
529,When a Stranger Calls,Fred Walton,1979,5,2.0,No,6.6
530,Wildling,Fritz Böhm,2018,4,1.5,No,6.1
531,Winchester,"Michael Spierig, Peter Spierig",2018,17,4.0,No,5.4
532,Wind Chill,Gregory Jacobs,2007,13,3.0,No,5.9
533,Wish Upon,John R. Leonetti,2017,11,2.0,No,4.8
534,Wolf Creek,Greg McLean,2005,0,0.0,No,6.3
535,World War Z,Marc Forster,2013,7,2.5,No,7.0
536,Would You Rather,David Guy Levy,2012,3,1.0,Yes,5.8
537,Wrong Turn,Rob Schmidt,2003,13,3.0,No,6.1
538,You're Next,Adam Wingard,2011,11,3.0,No,6.5
539,Zodiac,David Fincher,2007,3,0.5,No,7.7
540,Zombieland,Ruben Fleischer,2009,9,3.0,No,7.7
